from_totally_fake_account,month,total_monthly_spent
1703,11,1657.45
1703,12,2549.1
1715,1,1667.92
1715,2,1779.74
1715,3,1726.67
1715,4,1931.68
1715,5,1650.12
1715,6,1691.08
1715,7,1891.99
1715,8,1667.18
1715,9,1979.0
1715,10,1988.59
1715,11,1660.72
1715,12,2011.59
1717,1,2423.12
1717,2,2357.11
1717,3,2773.2799999999997
1717,4,3028.18
1717,5,2250.9
1717,6,2417.28
1717,7,2094.8900000000003
1717,8,3025.07
1717,9,2067.64
1717,10,2687.9500000000003
1717,11,1874.97
1717,12,2206.71
1718,1,2834.8
1718,2,2460.77
1718,3,2701.76
1718,4,3036.09
1718,5,3140.6200000000003
1718,6,2516.06
1718,7,3198.52
1718,8,3143.7599999999998
1718,9,2271.91
1718,10,2621.24
1718,11,1846.69
1718,12,3534.43
1730,1,1318.29
1730,2,1133.46
1730,3,1267.29
1730,4,1385.67
1730,5,1292.44
1730,6,1405.72
1730,7,1206.8999999999999
1730,8,1238.06
1730,9,1272.96
1730,10,1330.78
1730,11,1210.04
1730,12,1665.08
1736,1,1330.35
1736,2,1333.43
1736,3,1529.11
1736,4,1301.86
1736,5,1344.75
1736,6,1156.76
1736,7,1426.19
1736,8,1059.42
1736,9,1235.92
1736,10,1602.04
1736,11,1827.08
1736,12,1988.78
1757,1,1255.72
1757,2,1317.03
1757,3,1522.46
1757,4,1281.0
1757,5,1792.74
1757,6,1533.61
1757,7,1552.27
1757,8,1636.87
1757,9,1477.23
1757,10,1485.6
1757,11,1349.37
1757,12,1725.09
1784,1,1910.07
1784,2,1715.77
1784,3,1998.69
1784,4,2000.28
1784,5,1915.92
1784,6,1729.96
1784,7,1918.66
1784,8,2064.22
1784,9,1637.81
1784,10,2112.03
1784,11,2048.78
1784,12,2202.82
1786,1,2713.03
1786,2,1908.4399999999998
1786,3,2462.3
1786,4,2036.94
1786,5,3035.71
1786,6,2252.38
1786,7,2936.08
1786,8,2020.62
1786,9,2856.5
1786,10,2330.85
1786,11,2753.44
1786,12,2583.68
1793,1,1737.85
1793,2,1294.2
1793,3,1232.73
1793,4,1693.07
1793,5,1306.33
1793,6,1524.79
1793,7,1429.65
1793,8,1531.7
1793,9,1350.3
1793,10,1651.45
1793,11,1575.09
1793,12,1967.3899999999999
1799,1,1867.14
1799,2,1091.85
1799,3,1580.24
1799,4,1206.13
1799,5,1792.01
1799,6,1377.95
1799,7,1504.6100000000001
1799,8,1973.78
1799,9,1454.04
1799,10,2698.79
1799,11,1564.71
1799,12,2235.88
1800,1,960.79
1800,2,1220.02
1800,3,1232.02
1800,4,1200.8899999999999
1800,5,1352.38
1800,6,1319.89
1800,7,1280.25
1800,8,1121.69
1800,9,1054.55
1800,10,1159.21
1800,11,1092.53
1800,12,1419.29
1808,1,1674.76
1808,2,1872.39
1808,3,2052.44
1808,4,1761.39
1808,5,2011.03
1808,6,1747.55
1808,7,1724.8999999999999
1808,8,2030.5900000000001
1808,9,1958.6299999999999
1808,10,1831.15
1808,11,2010.74
1808,12,2348.0
1815,1,1673.3300000000002
1815,2,1812.58
1815,3,1615.57
1815,4,1328.02
1815,5,1690.32
1815,6,1477.37
1815,7,1500.15
1815,8,1468.24
1815,9,1259.0
1815,10,1466.79
1815,11,1430.76
1815,12,1444.5
1823,1,3279.5099999999998
1823,2,2471.4
1823,3,2744.42
1823,4,2061.68
1823,5,2819.27
1823,6,2715.43
1823,7,2249.58
1823,8,2901.33
1823,9,2491.7
1823,10,2968.12
1823,11,2678.09
1823,12,3897.2
1827,1,1902.69
1827,2,1501.6000000000001
1827,3,2055.66
1827,4,2131.83
1827,5,1417.3
1827,6,1371.71
1827,7,2011.47
1827,8,1945.07
1827,9,1809.78
1827,10,2294.3
1827,11,2154.17
1827,12,2130.66
1828,1,1663.63
1828,2,1127.41
1828,3,1485.52
1828,4,1089.58
1828,5,1128.77
1828,6,1402.1399999999999
1828,7,1464.15
1828,8,1853.94
1828,9,833.24
1828,10,810.38
1828,11,1410.93
1828,12,2005.1
1835,1,1158.77
1835,2,1041.94
1835,3,1546.73
1835,4,964.62
1835,5,1609.26
1835,6,1016.37
1835,7,1211.36
1835,8,1238.78
1835,9,1094.62
1835,10,834.92
1835,11,1380.1200000000001
1835,12,1585.17
1838,1,1812.27
1838,2,1585.24
1838,3,1801.8899999999999
1838,4,1620.93
1838,5,1752.53
1838,6,1531.76
1838,7,1789.53
1838,8,1515.32
1838,9,1696.94
1838,10,1618.72
1838,11,1494.6499999999999
1838,12,1887.02
1908,1,2719.38
1908,2,3045.57
1908,3,2566.28
1908,4,3250.41
1908,5,2779.13
1908,6,2896.31
1908,7,2687.17
1908,8,2569.96
1908,9,2368.02
1908,10,2853.86
1908,11,2969.29
1908,12,2921.26
1910,1,1282.97
1910,2,1251.67
1910,3,2090.49
1910,4,2133.72
1910,5,1872.27
1910,6,1631.22
1910,7,1408.27
1910,8,1129.75
1910,9,1404.3
1910,10,1338.53
1910,11,1356.14
1910,12,2370.09
1931,1,1432.18
1931,2,1397.23
1931,3,1350.76
1931,4,1495.04
1931,5,1725.22
1931,6,1391.1299999999999
1931,7,1615.6399999999999
1931,8,1443.21
1931,9,1677.66
1931,10,1332.95
1931,11,1283.79
1931,12,2144.1
1990,1,1876.98
1990,2,1561.95
1990,3,1799.82
1990,4,2080.13
1990,5,2034.28
1990,6,1920.33
1990,7,1680.5
1990,8,1993.84
1990,9,1511.37
1990,10,1916.48
1990,11,1751.01
1990,12,2338.34
2004,1,1402.83
2004,2,1176.59
2004,3,1191.29
2004,4,1331.58
2004,5,1252.33
2004,6,1731.45
2004,7,1300.08
2004,8,1318.96
2004,9,1660.23
2004,10,1333.17
2004,11,1315.86
2004,12,1806.81
2019,1,2377.98
2019,2,2160.15
2019,3,2658.0699999999997
2019,4,2457.68
2019,5,2007.0
2019,6,2485.97
2019,7,1953.25
2019,8,2425.64
2019,9,2098.9
2019,10,2839.81
2019,11,2230.34
2019,12,3029.88
2029,1,1533.54
2029,2,1669.93
2029,3,1866.04
2029,4,1853.98
2029,5,1734.56
2029,6,1988.3999999999999
2029,7,1614.11
2029,8,1642.58
2029,9,1559.63
2029,10,1791.75
2029,11,1768.94
2029,12,2060.09
2030,1,2475.48
2030,2,2588.89
2030,3,2604.2000000000003
2030,4,2326.58
2030,5,2460.1400000000003
2030,6,2480.22
2030,7,2357.09
2030,8,2540.6
2030,9,2225.9900000000002
2030,10,2458.01
2030,11,2392.92
2030,12,2741.85
2035,1,2333.02
2035,2,2225.97
2035,3,2545.83
2035,4,2770.72
2035,5,2177.6800000000003
2035,6,2650.93
2035,7,1997.71
2035,8,2125.57
2035,9,2207.37
2035,10,2121.96
2035,11,1936.1200000000001
2035,12,2031.78
2044,1,1184.4199999999998
2044,2,993.92
2044,3,1542.71
2044,4,1242.04
2044,5,1151.52
2044,6,1019.64
2044,7,1207.12
2044,8,1395.08
2044,9,1197.11
2044,10,1181.61
2044,11,1208.43
2044,12,1494.6200000000001
2069,1,2843.42
2069,2,2654.44
2069,3,2978.1
2069,4,2699.04
2069,5,2964.91
2069,6,3017.75
2069,7,2656.83
2069,8,2373.1
2069,9,2773.7799999999997
2069,10,2821.7599999999998
2069,11,2908.7000000000003
2069,12,2973.4
2071,1,2573.2799999999997
2071,2,2133.55
2071,3,2462.87
2071,4,3215.98
2071,5,3242.3
2071,6,3419.12
2071,7,3143.89
2071,8,2591.15
2071,9,2899.32
2071,10,2115.7799999999997
2071,11,2095.77
2071,12,3050.1800000000003
2076,1,2628.67
2076,2,2476.77
2076,3,2696.73
2076,4,2627.3
2076,5,2716.4500000000003
2076,6,2953.96
2076,7,2876.38
2076,8,2966.53
2076,9,2743.02
2076,10,3857.54
2076,11,2996.27
2076,12,4024.58
2090,1,1489.48
2090,2,1322.31
2090,3,1214.0
2090,4,1414.82
2090,5,1339.53
2090,6,1226.05
2090,7,1238.09
2090,8,1573.17
2090,9,1376.05
2090,10,1554.15
2090,11,1520.53
2090,12,1776.34
2097,1,1338.6299999999999
2097,2,1263.88
2097,3,1245.75
2097,4,1195.56
2097,5,1402.33
2097,6,1108.94
2097,7,1023.74
2097,8,1073.34
2097,9,771.78
2097,10,1015.37
2097,11,1541.18
2097,12,1919.64
2100,1,1693.34
2100,2,1398.83
2100,3,1719.2
2100,4,1598.2
2100,5,1330.72
2100,6,1691.1
2100,7,1539.34
2100,8,1528.61
2100,9,1343.61
2100,10,1378.24
2100,11,1689.43
2100,12,2059.32
2108,1,1442.15
2108,2,1872.8600000000001
2108,3,1627.44
2108,4,1602.69
2108,5,1874.83
2108,6,1531.03
2108,7,2021.69
2108,8,2020.3999999999999
2108,9,1789.0800000000002
2108,10,2067.07
2108,11,2051.43
2108,12,2189.19
2116,1,930.45
2116,2,1401.1499999999999
2116,3,1110.31
2116,4,1198.08
2116,5,1245.53
2116,6,1083.48
2116,7,875.7
2116,8,1289.8799999999999
2116,9,1276.73
2116,10,1099.45
2116,11,1115.9
2116,12,1476.1
2126,1,1603.4599999999998
2126,2,1679.93
2126,3,1707.78
2126,4,1560.06
2126,5,1643.55
2126,6,1680.08
2126,7,1804.02
2126,8,2002.31
2126,9,1214.23
2126,10,1352.07
2126,11,1765.77
2126,12,1792.8999999999999
2137,1,1764.43
2137,2,1213.18
2137,3,1403.0
2137,4,1386.3700000000001
2137,5,1538.04
2137,6,1758.05
2137,7,1359.53
2137,8,1206.82
2137,9,1144.9
2137,10,1383.87
2137,11,1245.98
2137,12,2129.19
2152,1,1226.45
2152,2,1189.52
2152,3,1207.55
2152,4,1150.96
2152,5,1070.8700000000001
2152,6,728.18
2152,7,1178.78
2152,8,1165.07
2152,9,1404.86
2152,10,831.63
2152,11,1174.88
2152,12,1594.0
2171,1,2501.46
2171,2,2809.9
2171,3,2502.64
2171,4,2375.55
2171,5,2707.06
2171,6,2819.67
2171,7,3074.17
2171,8,2432.76
2171,9,2239.66
2171,10,3229.47
2171,11,2373.4
2171,12,3203.34
2182,1,1922.71
2182,2,2798.85
2182,3,2532.36
2182,4,2404.71
2182,5,2712.12
2182,6,2840.5
2182,7,1770.24
2182,8,2667.91
2182,9,2377.94
2182,10,1906.89
2182,11,2536.92
2182,12,2197.95
2211,1,1646.71
2211,2,1542.7
2211,3,1606.2
2211,4,1269.91
2211,5,1725.6
2211,6,1165.35
2211,7,1536.05
2211,8,1241.03
2211,9,1125.13
2211,10,1321.9
2211,11,1778.68
2211,12,1352.3
2213,1,1455.05
2213,2,1434.66
2213,3,1772.06
2213,4,1437.34
2213,5,2118.64
2213,6,1664.47
2213,7,1579.01
2213,8,2138.11
2213,9,1600.85
2213,10,1579.48
2213,11,1814.82
2213,12,1630.2
2214,1,1737.3600000000001
2214,2,1463.25
2214,3,1660.67
2214,4,1627.58
2214,5,1795.81
2214,6,1633.41
2214,7,1565.74
2214,8,1702.45
2214,9,1516.68
2214,10,2159.82
2214,11,1623.41
2214,12,2117.73
2236,1,1723.11
2236,2,1625.97
2236,3,1903.6399999999999
2236,4,1440.04
2236,5,1972.88
2236,6,1588.54
2236,7,1906.51
2236,8,1555.74
2236,9,1643.76
2236,10,1790.59
2236,11,1378.55
2236,12,2201.81
2249,1,1133.76
2249,2,1625.39
2249,3,1363.58
2249,4,1328.8500000000001
2249,5,1864.01
2249,6,1716.06
2249,7,1410.62
2249,8,1834.54
2249,9,1372.17
2249,10,1408.39
2249,11,1313.01
2249,12,1500.3
2258,1,1664.17
2258,2,1712.07
2258,3,1636.0
2258,4,1296.48
2258,5,1671.44
2258,6,1983.49
2258,7,1517.75
2258,8,1968.79
2258,9,1455.68
2258,10,1553.09
2258,11,1267.52
2258,12,2255.64
2260,1,1395.79
2260,2,1448.83
2260,3,1359.52
2260,4,1273.1399999999999
2260,5,1442.1399999999999
2260,6,1573.17
2260,7,1233.46
2260,8,1453.47
2260,9,1487.77
2260,10,1427.23
2260,11,1662.78
2260,12,2090.07
2274,1,1533.69
2274,2,1359.17
2274,3,1778.98
2274,4,1305.53
2274,5,1529.9
2274,6,1377.99
2274,7,1720.53
2274,8,1456.96
2274,9,1180.72
2274,10,1579.09
2274,11,1542.49
2274,12,1884.69
2288,1,1627.03
2288,2,1345.91
2288,3,1243.37
2288,4,1124.04
2288,5,1405.51
2288,6,1731.8700000000001
2288,7,1208.9
