from_totally_fake_account,recency,frequency,monetary,r_score,f_score,m_score
2260,0,1368,17847.37,1,3,2
2274,0,1934,18249.74,1,4,2
2288,0,1164,16508.66,1,3,1
2294,0,1609,32773.8,1,4,4
2306,0,936,19221.16,1,1,2
2308,0,1293,35890.96,1,3,4
2315,0,1527,22214.15,1,4,3
2331,0,2728,34855.82,1,4,4
2369,0,991,32209.19,1,2,4
2387,0,1139,19485.3,1,2,2
2390,0,1904,22784.38,1,4,3
2430,0,1465,31815.87,1,3,4
2440,0,1028,17761.12,1,2,2
2446,0,916,14235.41,1,1,1
2486,0,875,28395.53,1,1,3
2487,3,931,18175.21,3,1,2
2493,0,1015,17378.37,1,2,1
2518,0,2000,24575.84,1,4,3
2528,1,840,33069.21,2,1,4
2538,0,925,27277.3,1,1,3
2574,0,1363,14384.52,1,3,1
2580,0,1492,32656.87,1,3,4
2585,0,1067,32061.86,1,2,4
2632,0,1369,17025.61,1,3,1
2641,0,1867,25033.4,1,4,3
2647,0,1728,33884.86,1,4,4
2663,0,1717,20666.82,1,4,2
2666,0,1074,19717.02,1,2,2
2677,0,1115,19489.51,1,2,2
2710,0,673,24874.24,1,1,3
2711,0,1672,19016.85,1,4,2
2719,0,1127,23375.32,1,2,3
2760,0,1530,20054.65,1,4,2
2767,0,1624,16956.579999999998,1,4,1
2771,0,2121,36952.71,1,4,4
2778,0,1733,23477.75,1,4,3
2779,0,1506,25135.13,1,4,3
2795,0,1297,36172.51,1,3,4
2817,0,1811,14928.12,1,4,1
2838,3,750,30309.85,3,1,4
2844,0,738,23568.54,1,1,3
2852,3,1143,18549.72,3,2,2
2854,0,1189,32613.78,1,3,4
2858,0,1295,30834.33,1,3,4
2862,0,2042,32288.65,1,4,4
2876,0,1031,11854.07,1,2,1
2881,0,1192,31298.91,1,3,4
2888,3,737,20445.41,3,1,2
2895,0,1219,34191.69,1,3,4
2910,0,1630,28651.0,1,4,3
2984,0,1049,18103.8,1,2,2
2987,0,1422,17553.37,1,3,1
2997,0,1026,17400.91,1,2,1
3017,0,1695,21152.34,1,4,3
3045,0,815,18638.03,1,1,2
3048,0,1272,35731.58,1,3,4
3070,0,881,19094.11,1,1,2
3083,1,976,14990.2,2,1,1
3093,0,1050,21942.75,1,2,3
3102,0,1028,30216.65,1,2,4
3107,0,1238,21542.81,1,3,3
3109,0,908,27240.35,1,1,3
3142,0,1133,21960.29,1,2,3
3143,0,2097,20784.88,1,4,2
3145,0,919,22449.68,1,1,3
3158,2,1161,28444.96,2,3,3
3217,0,1259,16702.24,1,3,1
3226,0,1845,33912.79,1,4,4
3237,0,1532,34269.69,1,4,4
3241,0,1314,30909.21,1,3,4
3252,0,1129,21059.670000000002,1,2,3
3269,0,1687,16837.26,1,4,1
3285,1,801,18988.48,2,1,2
3287,0,1216,33616.3,1,3,4
3291,0,733,34540.3,1,1,4
3296,0,1662,23500.66,1,4,3
3317,0,1634,15717.31,1,4,1
3329,1,1057,19557.82,2,2,2
3362,0,1078,30569.91,1,2,4
3378,0,746,25491.84,1,1,3
3381,1,766,13336.64,2,1,1
3395,0,1401,17434.31,1,3,1
3402,1,840,20429.34,2,1,2
3417,3,872,31733.329999999998,3,1,4
3431,0,1316,20408.93,1,3,2
3456,0,1730,33398.08,1,4,4
3458,0,1675,41919.88,1,4,4
3465,0,1282,36239.6,1,3,4
3472,0,960,21078.79,1,1,3
3498,0,1785,25300.99,1,4,3
3512,1,868,35466.659999999996,2,1,4
3521,1,1082,14514.4,2,2,1
3559,1,1138,17762.96,2,2,2
3575,0,1459,35033.42,1,3,4
3577,1,1048,17419.8,2,2,1
3580,0,1588,17397.37,1,4,1
3582,0,923,17737.11,1,1,2
3599,0,1643,30014.09,1,4,4
3602,0,1196,24630.09,1,3,3
3615,0,1146,20885.33,1,2,2
3634,0,989,18177.61,1,1,2
3638,0,1550,17695.74,1,4,1
3642,0,951,13509.83,1,1,1
3650,0,1513,14462.29,1,4,1
3675,1,944,18291.98,2,1,2
3694,0,1006,16957.63,1,2,1
3704,0,1058,31744.49,1,2,4
3712,0,1089,34334.19,1,2,4
3765,0,1112,16636.66,1,2,1
3776,0,968,32095.23,1,1,4
3786,0,1016,34324.3,1,2,4
3795,0,1251,15937.9,1,3,1
3800,1,1049,21162.59,2,2,3
3822,0,1301,16894.22,1,3,1
3838,0,1126,30390.99,1,2,4
3868,0,1598,21718.13,1,4,3
3880,0,1201,17396.75,1,3,1
3890,0,1692,19348.63,1,4,2
3896,0,1404,24500.2,1,3,3
3905,0,1089,16019.58,1,2,1
3907,1,987,17261.24,2,1,1
3934,3,776,22410.739999999998,3,1,3
3939,0,1957,22337.7,1,4,3
3958,0,835,14586.51,1,1,1
3970,0,1385,28414.19,1,3,3
3994,0,712,29117.39,1,1,4
4009,0,1614,15979.49,1,4,1
4018,0,1147,23799.98,1,2,3
4021,0,1761,20080.02,1,4,2
4044,0,1514,23234.48,1,4,3
4047,1,996,13610.2,2,2,1
4081,1,1058,28706.88,2,2,3
4083,1,766,31567.39,2,1,4
4106,0,843,34062.19,1,1,4
4107,0,1342,20105.2,1,3,2
4125,0,1542,28881.43,1,4,3
4141,0,1072,22989.57,1,2,3
4142,0,1029,32792.85,1,2,4
4148,0,1593,32158.42,1,4,4
4154,0,967,25783.13,1,1,3
4171,3,653,12692.85,3,1,1
4177,0,1135,17072.81,1,2,1
4206,0,1753,33653.57,1,4,4
4212,0,874,15566.449999999999,1,1,1
4230,0,716,15020.61,1,1,1
4239,0,1039,34687.68,1,2,4
4265,0,1389,22582.13,1,3,3
4276,0,1059,20914.14,1,2,2
4279,0,1993,25841.9,1,4,3
4301,1,989,16424.04,2,1,1
4305,0,1573,19456.8,1,4,2
4309,0,1244,35887.520000000004,1,3,4
4313,0,1494,32840.07,1,3,4
4324,0,1168,16299.87,1,3,1
4336,1,1102,16544.22,2,2,1
4343,0,1021,16982.67,1,2,1
4386,1,1057,17852.83,2,2,2
4403,1,1276,17756.18,2,3,2
4416,0,1680,13757.2,1,4,1
4428,0,1054,14531.78,1,2,1
4463,0,1483,19614.08,1,3,2
4465,0,1338,28244.18,1,3,3
4490,0,1123,33763.73,1,2,4
4494,0,1279,19863.41,1,3,2
4497,0,969,21225.21,1,1,3
4498,0,1505,31654.95,1,4,4
4511,3,944,20528.8,3,1,2
4516,0,1570,15816.28,1,4,1
4518,0,991,17162.31,1,2,1
4526,0,1698,29924.91,1,4,4
4548,0,1199,32166.85,1,3,4
4549,0,1007,19852.23,1,2,2
4555,0,1753,18050.87,1,4,2
4558,0,1607,31648.71,1,4,4
4559,0,900,11359.88,1,1,1
4571,1,842,32430.68,2,1,4
4572,0,1516,19316.22,1,4,2
4585,0,1792,17842.94,1,4,2
4614,0,1163,20009.27,1,3,2
4621,1,948,16263.05,2,1,1
4623,0,1686,16718.55,1,4,1
4651,0,943,14385.710000000001,1,1,1
4655,0,822,28475.59,1,1,3
4686,0,1386,21364.51,1,3,3
4690,0,1353,34624.93,1,3,4
4691,0,875,24475.829999999998,1,1,3
4695,0,1280,21722.11,1,3,3
4697,0,2109,34008.8,1,4,4
4708,0,789,13994.69,1,1,1
4710,0,1768,20585.36,1,4,2
4717,0,1481,22167.13,1,3,3
4731,0,1536,30578.3,1,4,4
4739,0,892,15381.72,1,1,1
4754,0,916,16872.38,1,1,1
4759,1,1321,22952.83,2,3,3
4767,0,1310,17304.53,1,3,1
4809,0,1780,22944.84,1,4,3
4815,0,1239,20066.48,1,3,2
4818,0,1244,16484.28,1,3,1
4819,0,1087,20783.06,1,2,2
4820,2,1058,19975.09,2,2,2
4823,0,1448,19818.89,1,3,2
4824,0,1518,34096.64,1,4,4
4832,0,1281,20657.47,1,3,2
4837,0,1589,29788.25,1,4,4
4838,0,1199,25445.17,1,3,3
4840,0,1099,21297.11,1,2,3
4861,0,1000,16217.67,1,2,1
4871,0,1002,17905.63,1,2,2
4875,0,1321,33462.21,1,3,4
4888,0,1680,29943.5,1,4,4
4898,0,1388,11065.2,1,3,1
4903,0,977,18312.65,1,1,2
4905,0,1257,34333.72,1,3,4
4930,0,1296,17879.36,1,3,2
4931,0,907,30499.45,1,1,4
4955,0,1411,32424.85,1,3,4
4958,0,1871,38410.66,1,4,4
4976,0,1014,14982.289999999999,1,2,1
4993,0,970,30145.25,1,1,4
5001,0,1710,29891.76,1,4,4
5039,0,1158,26891.46,1,3,3
5057,0,972,12880.76,1,1,1
5058,0,1164,18337.88,1,3,2
5063,0,964,16297.53,1,1,1
5068,0,973,28328.33,1,1,3
5093,0,1273,15918.3,1,3,1
5108,0,1734,23024.51,1,4,3
5119,0,1378,30524.11,1,3,4
5127,0,893,11078.7,1,1,1
5164,0,1030,22042.0,1,2,3
5167,3,801,15542.42,3,1,1
5173,0,1329,19231.99,1,3,2
5174,0,1515,19303.8,1,4,2
5180,1,902,15693.460000000001,2,1,1
5198,0,790,12861.27,1,1,1
5200,0,955,18080.59,1,1,2
5215,0,1479,19360.34,1,3,2
5219,0,988,26581.85,1,1,3
5222,0,1214,24525.84,1,3,3
5237,0,914,13799.1,1,1,1
5241,0,1139,21999.31,1,2,3
5248,1,1119,21306.82,2,2,3
5251,0,1366,23285.57,1,3,3
5261,1,1132,22277.99,2,2,3
5266,1,1096,35743.27,2,2,4
5276,0,856,16486.15,1,1,1
5280,2,1078,22024.66,2,2,3
5283,0,1671,21219.53,1,4,3
5285,0,1239,30891.84,1,3,4
5289,0,1639,19394.54,1,4,2
5291,0,1358,19348.26,1,3,2
5292,0,1150,31648.92,1,2,4
5298,0,1711,21353.68,1,4,3
5299,0,913,30378.24,1,1,4
5300,1,924,27280.16,2,1,3
5304,0,1722,33418.13,1,4,4
5307,0,1137,29024.8,1,2,4
5319,0,1818,21189.89,1,4,3
5322,0,1576,29896.84,1,4,4
5338,0,1108,21758.45,1,2,3
5347,0,1005,19517.67,1,2,2
5353,1,966,31091.36,2,1,4
5357,0,1932,23657.93,1,4,3
5378,3,587,29903.420000000002,3,1,4
5391,1,748,17624.49,2,1,1
5394,0,915,16182.31,1,1,1
5403,0,988,35178.25,1,1,4
5412,0,970,20776.87,1,1,2
5439,0,1047,17685.66,1,2,1
5457,2,923,20609.61,2,1,2
5462,0,1162,17454.77,1,3,1
5486,0,1539,18805.15,1,4,2
5491,0,843,28124.14,1,1,3
5494,2,1095,28987.32,2,2,4
5499,0,1097,25494.76,1,2,3
5500,3,649,13552.63,3,1,1
5501,0,1298,31129.23,1,3,4
5511,0,1483,18619.8,1,3,2
5514,0,1728,14942.71,1,4,1
5522,0,2053,19132.39,1,4,2
5525,0,1188,13646.44,1,3,1
5538,0,1127,25670.8,1,2,3
5556,0,881,17970.87,1,1,2
5569,0,1688,35619.16,1,4,4
5580,0,1338,29261.66,1,3,4
5589,0,1059,19636.95,1,2,2
5615,0,1061,14423.789999999999,1,2,1
5620,0,1013,30769.5,1,2,4
5653,0,1758,29764.57,1,4,4
5671,0,1361,20886.44,1,3,2
5679,0,1193,24080.74,1,3,3
5701,0,1842,19084.8,1,4,2
5706,0,1105,25532.85,1,2,3
5720,1,824,16601.89,2,1,1
5733,1,788,29536.6,2,1,4
5740,0,1896,37905.23,1,4,4
5782,0,1108,23788.5,1,2,3
5784,1,683,31464.07,2,1,4
5797,0,1691,34472.98,1,4,4
5803,0,1113,20841.11,1,2,2
5805,0,1726,19950.05,1,4,2
5809,0,1023,14496.69,1,2,1
5831,0,1528,28696.829999999998,1,4,3
5844,0,1337,19188.83,1,3,2
5852,0,1515,24907.3,1,4,3
5853,0,1603,19047.85,1,4,2
5876,0,1124,32324.08,1,2,4
5882,0,1103,16506.079999999998,1,2,1
5889,1,899,16887.4,2,1,1
5890,0,1011,15499.7,1,2,1
5919,0,870,27411.71,1,1,3
5936,0,1006,24196.45,1,2,3
5941,0,1770,15233.27,1,4,1
5960,0,1665,24526.78,1,4,3
5979,0,1045,36408.34,1,2,4
5984,0,1799,22615.08,1,4,3
6010,0,1382,19619.62,1,3,2
6016,1,1160,15171.7,2,3,1
6030,0,1109,33975.14,1,2,4
6031,3,980,19687.34,3,1,2
6046,1,788,20113.71,2,1,2
6048,0,1197,33362.7,1,3,4
6053,0,1606,18035.36,1,4,2
6058,0,1909,18593.75,1,4,2
6059,0,1282,14937.09,1,3,1
6060,2,1120,28644.010000000002,2,2,3
6094,0,1146,18824.79,1,2,2
6097,0,1013,32676.49,1,2,4
6100,0,977,17377.41,1,1,1
6104,0,1148,15993.45,1,2,1
6107,2,951,29446.74,2,1,4
6154,0,1868,22197.17,1,4,3
6186,0,940,15154.31,1,1,1
6194,3,680,15679.48,3,1,1
6211,0,1114,16257.86,1,2,1
6233,0,1798,19720.6,1,4,2
6234,0,952,32079.13,1,1,4
6246,0,1039,25372.18,1,2,3
6286,2,829,16534.73,2,1,1
6289,0,1057,32904.82,1,2,4
6293,0,960,17654.59,1,1,1
6295,0,1136,20079.4,1,2,2
6296,2,1049,20416.1,2,2,2
6302,1,1259,17097.96,2,3,1
6315,2,1033,17599.27,2,2,1
6327,1,1115,15979.9,2,2,1
6339,0,1198,21409.09,1,3,3
6347,0,1832,19067.03,1,4,2
6360,0,1548,19819.91,1,4,2
6361,1,765,14831.43,2,1,1
6362,3,1084,16085.38,3,2,1
6406,0,1601,35746.29,1,4,4
6415,0,1129,18506.16,1,2,2
6431,0,1183,16027.5,1,3,1
6445,1,976,15507.81,2,1,1
6459,0,1866,20040.81,1,4,2
6468,0,1022,17646.36,1,2,1
6508,0,1529,30812.61,1,4,4
6517,0,1724,22626.93,1,4,3
6518,0,1658,29314.21,1,4,4
6536,0,1233,32099.3,1,3,4
6540,0,1699,18940.45,1,4,2
6545,0,1216,32374.079999999998,1,3,4
6563,0,1412,13847.13,1,3,1
6567,0,1316,24625.67,1,3,3
6574,0,1200,33718.56,1,3,4
6575,0,1268,19167.15,1,3,2
6589,1,966,20846.59,2,1,2
6616,0,1998,23976.43,1,4,3
6627,0,995,14847.99,1,2,1
6650,0,946,23238.899999999998,1,1,3
6651,0,947,24192.46,1,1,3
6653,0,1533,21794.170000000002,1,4,3
6677,0,1555,20219.99,1,4,2
6679,1,1013,34786.09,2,2,4
6692,0,787,20219.29,1,1,2
6754,0,1037,25489.34,1,2,3
6782,0,1472,18789.4,1,3,2
6809,0,869,13820.36,1,1,1
6829,0,1465,17737.16,1,3,2
6842,0,1247,15567.27,1,3,1
6874,0,1083,22821.48,1,2,3
6889,0,941,26206.83,1,1,3
6892,0,1478,32636.68,1,3,4
6900,0,920,18184.02,1,1,2
6919,0,1482,13254.2,1,3,1
6920,0,807,27670.89,1,1,3
6922,0,1049,15827.35,1,2,1
6924,1,1063,17381.04,2,2,1
6935,0,1217,29401.43,1,3,4
6947,0,1484,20765.14,1,3,2
6957,0,1021,28131.829999999998,1,2,3
7002,0,1578,25862.01,1,4,3
7014,0,1852,26657.14,1,4,3
7018,0,1011,22191.72,1,2,3
7020,0,1794,26128.85,1,4,3
7025,0,1103,20169.02,1,2,2
7039,0,1276,34876.15,1,3,4
7041,0,1517,29925.67,1,4,4
7058,0,2244,32540.829999999998,1,4,4
7059,0,1527,31236.54,1,4,4
7072,0,1606,33895.07,1,4,4
7073,0,1319,22794.07,1,3,3
7088,0,1708,22728.77,1,4,3
7104,0,1166,16653.17,1,3,1
7120,0,1493,20608.75,1,3,2
7129,1,1120,19648.94,2,2,2
7134,0,1411,22980.21,1,3,3
7143,0,901,11603.11,1,1,1
7150,1,1037,16688.17,2,2,1
7170,0,1213,18519.29,1,3,2
7192,0,1685,18921.53,1,4,2
7201,1,1110,16900.11,2,2,1
7214,0,943,29805.12,1,1,4
7224,0,1029,20108.23,1,2,2
7234,0,1594,17602.53,1,4,1
7235,0,1667,26451.54,1,4,3
7239,0,757,12585.41,1,1,1
7246,0,1320,29101.95,1,3,4
7248,0,1742,15409.3,1,4,1
7257,0,1323,29848.16,1,3,4
7269,0,964,18840.68,1,1,2
7272,0,880,20318.42,1,1,2
7292,0,1077,20080.18,1,2,2
7293,0,912,13847.66,1,1,1
7296,0,880,13044.27,1,1,1
7300,0,1552,22146.93,1,4,3
7301,0,1975,20828.86,1,4,2
7310,0,1927,17602.37,1,4,1
7312,1,1220,18917.63,2,3,2
7317,0,908,27156.54,1,1,3
7318,0,1066,23886.55,1,2,3
7330,0,1930,24918.36,1,4,3
7337,0,1005,21095.55,1,2,3
7369,0,1292,22510.37,1,3,3
7373,0,1259,21917.37,1,3,3
7389,1,1196,19671.579999999998,2,3,2
7395,0,1688,21478.46,1,4,3
7396,0,1219,21968.53,1,3,3
7417,0,1056,19785.61,1,2,2
7421,0,1109,18968.57,1,2,2
7446,0,1431,27616.83,1,3,3
7453,0,2007,34038.85,1,4,4
7472,0,1651,26411.3,1,4,3
7475,0,1809,19260.22,1,4,2
7485,0,1470,31927.2,1,3,4
7534,0,1088,22002.96,1,2,3
7538,0,1345,24139.18,1,3,3
7550,0,1584,31450.39,1,4,4
7572,0,1232,18685.76,1,3,2
7582,0,1150,29969.02,1,2,4
7601,0,962,21052.99,1,1,3
7623,0,845,32990.72,1,1,4
7637,0,914,22317.88,1,1,3
7659,0,1198,23183.94,1,3,3
7664,1,1049,14283.25,2,2,1
7672,0,1066,16384.23,1,2,1
7680,2,1127,17751.88,2,2,2
7686,0,755,21249.5,1,1,3
7690,0,1356,32140.1,1,3,4
7692,0,956,17834.6,1,1,2
7694,0,1551,33769.06,1,4,4
7746,0,1247,37103.0,1,3,4
7783,0,991,18425.74,1,2,2
7791,3,1175,41324.6,3,3,4
7809,0,1112,24995.23,1,2,3
7810,0,1322,32807.25,1,3,4
7831,0,1516,21353.96,1,4,3
7843,0,697,18169.5,1,1,2
7851,0,1843,19859.21,1,4,2
7853,0,1194,23083.73,1,3,3
7857,0,1045,37254.25,1,2,4
7875,2,729,17327.72,2,1,1
7877,0,1630,22014.78,1,4,3
7909,0,918,25562.35,1,1,3
7949,0,1107,31098.9,1,2,4
7964,0,1832,19814.11,1,4,2
7970,0,1065,24381.93,1,2,3
7979,0,1694,32201.88,1,4,4
7984,0,1211,17203.05,1,3,1
8001,0,2011,30229.01,1,4,4
8024,0,1425,36995.88,1,3,4
8031,1,1000,13696.16,2,2,1
8058,0,1589,15873.12,1,4,1
8059,0,1431,23939.42,1,3,3
8065,1,1216,29700.25,2,3,4
8089,0,679,20197.91,1,1,2
8094,0,1381,18419.41,1,3,2
8097,0,1422,22151.69,1,3,3
8109,3,711,34136.06,3,1,4
8135,0,867,18599.02,1,1,2
8143,0,1256,29985.57,1,3,4
8144,0,1151,17758.15,1,2,2
8164,0,1920,21650.44,1,4,3
8166,0,1087,28175.32,1,2,3
8179,0,964,11809.09,1,1,1
8194,0,1246,22695.2,1,3,3
8197,1,1078,21755.59,2,2,3
8203,1,1154,21565.18,2,2,3
8221,0,824,15971.3,1,1,1
8232,0,1379,19921.99,1,3,2
8236,3,930,31015.78,3,1,4
8250,2,849,17951.99,2,1,2
8253,0,1099,14970.27,1,2,1
8260,1,1065,32289.67,2,2,4
8266,0,815,19272.37,1,1,2
8267,0,1688,18358.9,1,4,2
8268,1,992,13328.53,2,2,1
8294,0,864,29307.5,1,1,4
8295,0,966,12730.44,1,1,1
8296,1,986,31623.27,2,1,4
8306,1,1083,16909.91,2,2,1
8307,0,1060,22133.16,1,2,3
8327,0,1220,19433.69,1,3,2
8328,0,1065,17611.09,1,2,1
8331,0,1678,33829.36,1,4,4
8334,0,1700,26045.34,1,4,3
8377,0,2051,37042.85,1,4,4
8381,1,1092,17238.35,2,2,1
8386,0,939,13121.8,1,1,1
8387,0,1209,16587.1,1,3,1
8418,0,1012,28443.79,1,2,3
8431,0,830,19442.61,1,1,2
8438,0,1382,19549.32,1,3,2
8472,0,1114,19387.94,1,2,2
8473,0,1554,18827.98,1,4,2
8474,0,1027,33945.52,1,2,4
8487,0,1062,29492.48,1,2,4
8506,0,1856,35401.62,1,4,4
8507,0,1244,30189.68,1,3,4
8518,3,762,25276.97,3,1,3
8556,0,1213,16064.69,1,3,1
8565,1,1028,12540.41,2,2,1
8568,2,812,23830.65,2,1,3
8572,2,1151,32296.829999999998,2,2,4
8583,1,955,23392.76,2,1,3
8603,0,992,15827.33,1,2,1
8607,0,1474,33346.66,1,3,4
8625,0,964,16884.11,1,1,1
8633,0,1700,27556.670000000002,1,4,3
8655,0,1249,18801.79,1,3,2
8661,0,1418,30092.27,1,3,4
8668,0,1052,31287.99,1,2,4
8682,0,1515,20215.1,1,4,2
8691,0,1326,20484.47,1,3,2
8718,2,1103,13516.41,2,2,1
8741,0,973,17656.7,1,1,1
8744,0,859,17473.29,1,1,1
8801,0,1216,25166.19,1,3,3
8815,0,1281,16286.59,1,3,1
8864,0,1259,29548.27,1,3,4
8880,0,992,17094.28,1,2,1
8882,0,1285,31325.7,1,3,4
8906,0,1242,21496.77,1,3,3
8907,0,1085,26015.3,1,2,3
8919,0,1340,29539.45,1,3,4
8943,0,1058,13051.53,1,2,1
8947,0,1410,28572.25,1,3,3
8968,1,1369,14440.0,2,3,1
8982,0,1003,19865.11,1,2,2
8994,1,1091,18895.71,2,2,2
9022,0,1239,19176.36,1,3,2
9029,0,1125,25026.01,1,2,3
9030,0,1138,19721.99,1,2,2
9041,0,1938,21789.06,1,4,3
9048,0,1598,32525.45,1,4,4
9075,0,1033,27452.23,1,2,3
9076,0,960,18004.4,1,1,2
9088,0,1215,17800.94,1,3,2
9120,0,1433,25387.31,1,3,3
9133,0,1244,31905.78,1,3,4
9141,0,1026,31378.23,1,2,4
9150,1,979,12865.05,2,1,1
9162,0,1001,35657.59,1,2,4
9172,0,1313,13831.26,1,3,1
9173,1,1049,17979.66,2,2,2
9186,0,1526,19916.2,1,4,2
9189,0,1301,19350.9,1,3,2
9204,0,1034,22607.75,1,2,3
9218,0,1421,20169.98,1,3,2
9225,0,1222,27268.4,1,3,3
9239,0,1047,17413.42,1,2,1
9250,0,802,15885.68,1,1,1
9255,0,1205,25063.81,1,3,3
9256,0,1006,12477.43,1,2,1
9262,0,914,18683.32,1,1,2
9267,0,1155,20363.74,1,3,2
9300,0,1209,22449.22,1,3,3
9303,0,1449,31164.579999999998,1,3,4
9323,0,897,25372.09,1,1,3
9333,0,918,15907.11,1,1,1
9337,3,868,25964.42,3,1,3
9341,0,960,21016.07,1,1,2
9347,0,2004,18593.0,1,4,2
9360,0,1886,24602.39,1,4,3
9381,0,1530,21115.56,1,4,3
9399,1,1713,22305.72,2,4,3
9407,1,1084,20397.17,2,2,2
9453,0,1212,18728.05,1,3,2
9460,0,741,28249.51,1,1,3
9474,0,1563,29185.25,1,4,4
9479,1,1056,18674.65,2,2,2
9480,0,1872,21499.489999999998,1,4,3
9499,0,1384,16242.64,1,3,1
9508,0,1575,24279.84,1,4,3
9518,0,1074,22685.5,1,2,3
9579,0,1734,21579.71,1,4,3
9580,0,735,12030.02,1,1,1
9600,0,1691,16878.71,1,4,1
9642,0,1125,30812.81,1,2,4
9660,0,927,28242.75,1,1,3
9678,0,894,31528.76,1,1,4
9685,0,1152,20764.3,1,2,2
9687,0,1265,19226.66,1,3,2
9691,1,1222,20238.27,2,3,2
9724,0,1736,15282.73,1,4,1
9740,0,1881,32106.33,1,4,4
9756,1,891,26045.77,2,1,3
9820,0,1514,35448.04,1,4,4
9869,0,2256,34867.35,1,4,4
9874,0,1229,15774.36,1,3,1
9880,0,1332,16564.0,1,3,1
9894,0,951,17670.3,1,1,1
9900,0,1098,22110.45,1,2,3
9916,0,1951,15061.76,1,4,1
9925,0,1325,18807.88,1,3,2
9928,2,921,16495.2,2,1,1
9936,0,1084,11945.289999999999,1,2,1
